sid,tid,cid,score,cname
838510868,264482668,10007,71,uml
889743947,273424217,10007,88,uml
894624475,291611344,10007,96,uml
836654067,204629000,10007,50,uml
873553613,215398779,10007,76,uml
821595341,217415608,10007,85,uml
815713236,271484199,10007,97,uml
826224425,227892606,10007,79,uml
886674303,260856115,10007,,uml
839671278,261265005,10007,67,uml
830296733,285158487,10007,93,uml
899263434,294705414,10007,,uml
804665726,284568307,10007,52,uml
887940745,221033865,10007,86,uml
803943982,204770865,10007,67,uml
806705524,260740138,10007,53,uml
847925374,215989302,10007,65,uml
853833260,283562696,10007,75,uml
829733548,299006305,10007,85,uml
872278396,253685135,10007,84,uml
891547426,258529125,10007,70,uml
809460512,218149003,10007,74,uml
839530300,269970265,10007,55,uml
859853577,295962868,10007,61,uml
852631471,216639360,10007,65,uml
865165520,270886975,10007,68,uml
843296996,259486000,10007,73,uml
852166888,237229153,10007,76,uml
806238872,257754182,10007,94,uml
859437752,277953313,10007,86,uml
852971835,249741140,10007,84,uml
819756689,201076369,10007,52,uml
814287235,203795181,10007,89,uml
822863200,238341990,10007,92,uml
855495921,241234313,10007,60,uml
861794885,270430118,10007,52,uml
867874328,267198942,10007,91,uml
866250189,298877449,10007,88,uml
885167986,243384060,10007,73,uml
830070306,215573757,10007,84,uml
820474852,207438561,10007,95,uml
840744681,249051140,10007,,uml
871775131,295427451,10007,83,uml
843901725,232301989,10007,89,uml
847498928,254415035,10007,86,uml
877289384,221789752,10007,84,uml
812499805,287390285,10007,66,uml
811639629,236666417,10007,73,uml
830922568,267025203,10007,,uml
861666483,256306895,10007,61,uml
857585113,201055905,10007,,uml
869563087,266155602,10007,,uml
835064185,243327216,10007,86,uml
837691987,247905740,10007,60,uml
874916669,265330394,10007,86,uml
879323859,232627580,10007,55,uml
849653870,248707768,10007,62,uml
893218188,263976891,10007,85,uml
836928133,228334993,10007,64,uml
896704413,210166792,10007,72,uml
876864675,255699500,10007,66,uml
827906687,239690607,10007,98,uml
823490147,246602944,10007,64,uml
899184217,260484368,10007,97,uml
819035441,234607731,10007,83,uml
833702408,239098286,10007,83,uml
813382338,215166151,10007,99,uml
814535509,274144689,10007,98,uml
857333647,237871374,10007,68,uml
817321138,202587111,10007,91,uml
846590542,247250427,10007,79,uml
801820915,293464402,10007,93,uml
839981722,257636086,10007,82,uml
809109723,239254195,10007,,uml
844933066,249484863,10007,82,uml
876260974,247620816,10007,,uml
813868500,204142501,10007,75,uml
817851370,230760723,10007,80,uml
855738309,297055368,10007,60,uml
811538383,235814201,10007,92,uml
827992707,231826212,10007,60,uml
893264197,278851928,10007,83,uml
862795972,227603892,10007,85,uml
822479087,201270146,10007,67,uml
864767206,257524105,10007,80,uml
873186015,275812663,10007,51,uml
834898371,236125679,10007,93,uml
808585919,227771441,10007,50,uml
884735936,230587542,10007,54,uml
880728587,210502594,10007,89,uml
812395979,220911769,10007,64,uml
828284852,232920243,10007,91,uml
869961450,205332556,10007,79,uml
816160768,204955606,10007,93,uml
824329913,232645044,10007,82,uml
826308491,245133470,10007,79,uml
840399946,201267476,10007,61,uml
885101967,210418770,10007,78,uml
818760347,243476937,10007,64,uml
852375847,228121228,10007,96,uml
899432092,276307538,10007,70,uml
866981119,282561553,10007,55,uml
810289090,257687850,10007,,uml
894240668,228680912,10007,80,uml
837789104,283175725,10007,54,uml
824352973,205819339,10007,80,uml
862553439,238044385,10007,71,uml
838674303,202649144,10007,81,uml
855652349,287640725,10007,78,uml
827119337,232059176,10007,78,uml
876392316,250833344,10007,88,uml
834717798,292480177,10007,55,uml
817839481,273265086,10007,79,uml
849274578,264577723,10007,66,uml
820950320,223844488,10007,63,uml
890577564,288797229,10007,69,uml
891738974,256782423,10007,71,uml
826727423,218723167,10007,74,uml
811681939,227433582,10007,75,uml
839868499,241829645,10007,88,uml
882176062,218629750,10007,54,uml
809570356,286441579,10007,86,uml
883492457,216994688,10007,70,uml
835348475,208245723,10007,63,uml
895871724,247905740,10007,93,uml
861579610,284229891,10007,50,uml
835320329,290937041,10007,98,uml
865603482,241995265,10007,77,uml
826698944,285519868,10007,87,uml
830436625,256486805,10007,89,uml
849171360,262889135,10007,,uml
863160167,200956548,10007,51,uml
843952300,217320919,10007,92,uml
836931861,224242290,10007,73,uml
807647710,210200315,10007,71,uml
840047013,218970530,10007,82,uml
837009427,267952388,10007,77,uml
881140060,265311947,10007,74,uml
845505590,200982795,10007,74,uml
879634766,227220377,10007,78,uml
896154606,204167410,10007,97,uml
878634815,263610954,10007,51,uml
800523732,288443690,10007,,uml
853909668,251220466,10007,54,uml
820760261,264182844,10007,98,uml
838403138,288072676,10007,75,uml
802240281,265111547,10007,88,uml
807300720,286472024,10007,,uml
871462492,248075502,10007,68,uml
891324330,271649240,10007,97,uml
824061181,251097346,10007,91,uml
893805329,291659304,10007,52,uml
804032729,251432661,10007,91,uml
862083084,218356728,10007,52,uml
852069436,291374126,10007,98,uml
839062174,202915225,10007,61,uml
815740248,202921200,10007,51,uml
852989005,252576358,10007,94,uml
873600461,200662102,10007,68,uml
882380588,238162525,10007,77,uml
873832721,242193689,10007,72,uml
828494359,285191634,10007,60,uml
810615196,248023060,10007,62,uml
889523678,229684740,10007,98,uml
839475549,247327986,10007,66,uml
820315594,211093995,10007,97,uml
861668175,278383744,10007,,uml
893128788,283984887,10007,81,uml
816591041,298688391,10007,95,uml
835875725,207805574,10007,93,uml
844033107,244995807,10007,90,uml
854581595,244551375,10007,72,uml
832625106,208497206,10007,99,uml
884323854,278019378,10007,77,uml
841997003,298954386,10007,,uml
825087141,284544883,10007,73,uml
844367920,255378545,10007,61,uml
899620397,222268088,10007,69,uml
826853287,256657821,10007,94,uml
829078289,289074651,10007,90,uml
865632740,254726791,10007,95,uml
855001950,255832110,10007,91,uml
858322309,216873567,10007,98,uml
841573541,218479585,10007,,uml
883668588,232991341,10007,94,uml
824221272,296379480,10007,60,uml
891420786,285863506,10007,81,uml
845522622,211094111,10007,94,uml
832310111,217346633,10007,88,uml
879545141,288508059,10007,50,uml
853714176,233219733,10007,76,uml
881952769,297790035,10007,79,uml
863846353,286542488,10007,72,uml
844869010,271570614,10007,84,uml
848595490,210396548,10007,66,uml
821925838,280657008,10007,68,uml
863724872,283634329,10007,69,uml
867073451,220702437,10007,99,uml
862145357,252229457,10007,76,uml
813424355,207922983,10007,81,uml
800635719,252660393,10007,98,uml
892147793,271811592,10007,66,uml
854479776,280626222,10007,97,uml
816746777,292715350,10007,50,uml
867246546,287321461,10007,71,uml
857248498,247050445,10007,,uml
857115576,200428898,10007,54,uml
849309713,242857957,10007,90,uml
878811046,227140451,10007,,uml
830738556,235531209,10007,72,uml
817337184,213965348,10007,82,uml
843228751,214282711,10007,92,uml
873246184,233211556,10007,71,uml
847949372,224999353,10007,61,uml
827410296,273485628,10007,53,uml
882618826,290613432,10007,,uml
838221685,218629750,10007,98,uml
872198060,204166846,10007,67,uml
855912137,277535753,10007,,uml
870004247,221849342,10007,,uml
865232798,292773242,10007,54,uml
839192983,228418460,10007,64,uml
861380097,208098926,10007,72,uml
804076161,238952104,10007,88,uml
894708537,283457305,10007,79,uml
892021253,263039289,10007,55,uml
869037276,210301694,10007,97,uml
837050980,297967954,10007,78,uml
818752863,245987847,10007,76,uml
857636829,272798589,10007,83,uml
862458779,297179085,10007,66,uml
882069685,220253432,10007,78,uml
810343284,249151442,10007,99,uml
867903502,219429917,10007,86,uml
812232384,238375327,10007,75,uml
803387277,293996116,10007,92,uml
841220319,224355228,10007,78,uml
821326473,294621373,10007,67,uml
883600794,260764165,10007,61,uml
866143390,252840899,10007,82,uml
898213379,239700874,10007,72,uml
829291967,291648419,10007,52,uml
824996308,213890126,10007,96,uml
805596353,296701088,10007,67,uml
878899616,248640389,10007,,uml
847472328,283338040,10007,81,uml
804734279,226190047,10007,80,uml
897776723,237729226,10007,83,uml
806451772,232920243,10007,,uml
827995697,271615817,10007,64,uml
873650236,232682660,10007,63,uml
802813142,209153550,10007,85,uml
877385800,270914517,10007,99,uml
803758603,291811403,10007,55,uml
881235604,253452754,10007,50,uml
894768877,268493435,10007,71,uml
850964325,235284929,10007,76,uml
804367981,259990823,10007,84,uml
896753251,224859215,10007,92,uml
883734508,291750769,10007,84,uml
835889181,267558586,10007,90,uml
870745069,234670907,10007,54,uml
868984829,269844391,10007,,uml
833688436,234677932,10007,77,uml
808760735,267558586,10007,64,uml
819819105,227530274,10007,87,uml
897768340,220446124,10007,55,uml
866850314,258679894,10007,,uml
808142371,267768954,10007,86,uml
892936540,255530728,10007,83,uml
875434049,268109808,10007,79,uml
894545520,211078047,10007,79,uml
815434119,258956886,10007,81,uml
897648139,284007669,10007,91,uml
810053011,235721194,10007,83,uml
882039982,294743735,10007,95,uml
885713803,230905151,10007,55,uml
896321763,269328793,10007,62,uml
815796231,293930426,10007,95,uml
857545352,222409356,10007,55,uml
815448429,293890375,10007,91,uml
881323600,285912253,10007,77,uml
834809694,252988042,10007,95,uml
866005106,202956268,10007,90,uml
843743431,295465606,10007,79,uml
833228070,247628388,10007,74,uml
827555431,210062404,10007,69,uml
843547563,228629780,10007,60,uml
880304400,205433260,10007,55,uml
820759603,201431045,10007,70,uml
825288137,216288557,10007,76,uml
841749744,200792254,10007,95,uml
801218807,242857957,10007,73,uml
845400438,221258496,10007,86,uml
844709862,293805518,10007,94,uml
898455489,204415553,10007,,uml
861059852,260194462,10007,84,uml
870066007,265783483,10007,79,uml
814626375,206595813,10007,77,uml
836802942,276213784,10007,72,uml
810191309,208150289,10007,70,uml
862810088,217743547,10007,65,uml
834614566,279582157,10007,97,uml
812416163,208840095,10007,86,uml
886855248,260012500,10007,75,uml
840463464,204378537,10007,53,uml
833053719,206254023,10007,88,uml
800526986,244849691,10007,71,uml
834339331,275207707,10007,75,uml
848054956,201319523,10007,76,uml
814169610,290478384,10007,74,uml
809340262,202560416,10007,50,uml
863360433,253939846,10007,65,uml
878170863,220893200,10007,96,uml
843135360,288857710,10007,80,uml
814182372,298612589,10007,74,uml
867001410,295478504,10007,,uml
840227169,220468058,10007,98,uml
866130067,257941400,10007,50,uml
847184122,224819599,10007,67,uml
857240146,260348425,10007,84,uml
817339685,229945965,10007,77,uml
850890028,267741788,10007,,uml
813126418,248736213,10007,84,uml
815680140,225405951,10007,54,uml
894102745,260804598,10007,60,uml
840720944,211084942,10007,51,uml
827126907,263272064,10007,60,uml
861901086,278384050,10007,96,uml
827074109,247250427,10007,76,uml
820511517,232340466,10007,60,uml
853393890,267365523,10007,99,uml
836435141,221789752,10007,85,uml
835986482,209027872,10007,91,uml
825245154,282762117,10007,83,uml
813851602,293751062,10007,,uml
845061901,233754032,10007,71,uml
880973429,287844994,10007,73,uml
896117221,251311983,10007,52,uml
866249630,225574867,10007,95,uml
887657771,203296983,10007,99,uml
849862820,251086306,10007,,uml
869707909,239022298,10007,62,uml
852655750,259631417,10007,77,uml
892248923,232456751,10007,,uml
829676766,237902229,10007,97,uml
874466090,240775724,10007,61,uml
861109814,248897001,10007,89,uml
819990159,242644041,10007,80,uml
877563725,253307452,10007,90,uml
895770584,205035146,10007,77,uml
867599245,234486755,10007,77,uml
856558763,257930382,10007,75,uml
871883548,203754588,10007,63,uml
893238873,266342078,10007,98,uml
891435002,232273984,10007,82,uml
846735878,279515552,10007,77,uml
864783819,200215565,10007,84,uml
874779193,213498503,10007,68,uml
888830101,218320033,10007,85,uml
815750376,288157572,10007,77,uml
861268804,243823045,10007,94,uml
866140411,268166525,10007,94,uml
893680903,264346500,10007,63,uml
830076893,204801880,10007,78,uml
832366061,203552627,10007,78,uml
872283880,284009619,10007,71,uml
896867431,292491532,10007,52,uml
816501853,258711492,10007,,uml
899122085,290520002,10007,91,uml
843682819,223287411,10007,65,uml
895459694,287379867,10007,85,uml
880476594,250006936,10007,87,uml
853623318,220661331,10007,90,uml
844143184,275472980,10007,77,uml
868107026,296571504,10007,94,uml
862193823,252427006,10007,77,uml
877860277,260460918,10007,93,uml
896618442,278559394,10007,,uml
805117433,243545562,10007,95,uml
880116626,292915409,10007,96,uml
880819122,209065818,10007,62,uml
851281966,264791885,10007,63,uml
889431904,283661129,10007,92,uml
851258869,290646495,10007,50,uml
888212255,297057607,10007,,uml
801023892,215252735,10007,68,uml
854590638,204801880,10007,84,uml
865959138,229037618,10007,77,uml
852618118,267365523,10007,96,uml
802796602,281498071,10007,78,uml
810823408,267069286,10007,,uml
847821395,269066229,10007,64,uml
818168817,217667000,10007,51,uml
805804388,240019240,10007,98,uml
850368423,204483319,10007,83,uml
807257380,285912253,10007,90,uml
809727957,257133460,10007,,uml
853014134,279345780,10007,79,uml
878623755,228325673,10007,77,uml
802877160,243589214,10007,80,uml
865952960,289616815,10007,66,uml
869246502,202956268,10007,78,uml
846299681,291165380,10007,51,uml
863232474,279587689,10007,93,uml
833501333,246790799,10007,79,uml
828141565,213609181,10007,88,uml
854361321,231668835,10007,,uml
849912413,202122404,10007,83,uml
816849146,246002853,10007,50,uml
880367985,219153758,10007,,uml
897832042,201322408,10007,71,uml
893646450,242166028,10007,73,uml
865231956,222836543,10007,83,uml
854325484,218891065,10007,80,uml
824090846,245211391,10007,79,uml
857923067,279937890,10007,86,uml
899807892,220898107,10007,90,uml
819159825,240929673,10007,63,uml
844987699,257338000,10007,82,uml
860789097,264652927,10007,91,uml
870536219,253429316,10007,81,uml
890008967,281508885,10007,,uml
857583657,281762087,10007,81,uml
829358173,200224960,10007,68,uml
879548031,298749980,10007,95,uml
890378653,298839082,10007,65,uml
884561882,216728841,10007,64,uml
894042872,280811576,10007,63,uml
876045601,206227521,10007,88,uml
818051082,282444373,10007,65,uml
849476703,279498891,10007,66,uml
850178959,282238313,10007,73,uml
824133293,235499308,10007,76,uml
814706823,272103292,10007,97,uml
899009596,233086994,10007,76,uml
894672454,280596813,10007,60,uml
823094716,223062579,10007,76,uml
881443163,290247248,10007,67,uml
811830035,293640588,10007,83,uml
855034568,232812975,10007,,uml
856407944,289085068,10007,,uml
807624892,289130329,10007,67,uml
875656297,226292191,10007,91,uml
823937028,284317362,10007,63,uml
832564816,220601598,10007,70,uml
801653768,208080324,10007,77,uml
830976985,289041496,10007,,uml
820143794,204918772,10007,88,uml
861238593,203085673,10007,67,uml
810144366,295311173,10007,51,uml
833894514,222934243,10007,64,uml
871081277,238723661,10007,86,uml
866307561,281830453,10007,64,uml
829224326,218385758,10007,82,uml
808248771,242122720,10007,,uml
845000387,240663194,10007,88,uml
815017665,270736235,10007,90,uml
823150562,218722622,10007,75,uml
888141496,291581010,10007,77,uml
822084643,221211766,10007,91,uml
813559934,291946863,10007,70,uml
836528011,284362717,10007,85,uml
841508370,226211305,10007,82,uml
873553726,237839116,10007,98,uml
893743521,247720248,10007,79,uml
874912996,277076604,10007,70,uml
819985151,294705414,10007,52,uml
876879301,212333100,10007,81,uml
866434780,225941669,10007,86,uml
822046664,257524105,10007,81,uml
822377758,226674406,10007,93,uml
833963258,214869274,10007,76,uml
814759597,250067776,10007,60,uml
873579883,203230821,10007,,uml
870787644,250792884,10007,55,uml
802978113,202182670,10007,87,uml
897735272,248315074,10007,84,uml
892280231,292568301,10007,70,uml
855232037,261190838,10007,68,uml
806446213,284852674,10007,72,uml
820685238,212323488,10007,70,uml
898571762,259557712,10007,91,uml
814936969,279291012,10007,53,uml
870960761,230459409,10007,69,uml
895937952,269061913,10007,78,uml
893775238,279743774,10007,,uml
868439521,278616663,10007,89,uml
818841416,218946749,10007,96,uml
851407010,257643497,10007,90,uml
809551386,235705641,10007,98,uml
869506350,260151841,10007,83,uml
885002590,267365523,10007,98,uml
858221231,264771119,10007,81,uml
823229895,222562623,10007,99,uml
841740470,258165332,10007,79,uml
887737782,240205517,10007,54,uml
898620881,270895529,10007,62,uml
806576191,267198942,10007,62,uml
849555598,224398812,10007,,uml
804197823,209724035,10007,55,uml
802923863,200595356,10007,83,uml
895598379,281583578,10007,70,uml
861898407,299252101,10007,77,uml
801949823,204168110,10007,88,uml
893955366,249585087,10007,89,uml
806775753,225590389,10007,53,uml
856094413,211755669,10007,69,uml
815009795,233101919,10007,75,uml
847167530,287795916,10007,98,uml
878092418,266206472,10007,60,uml
870343060,221688011,10007,67,uml
862695746,220242924,10007,55,uml
839119423,237241190,10007,87,uml
891733879,263929990,10007,67,uml
842177832,282588859,10007,,uml
877495947,201083165,10007,77,uml
876206476,216117690,10007,,uml
816822708,201096141,10007,84,uml
820472285,210719907,10007,60,uml
823534935,207214620,10007,,uml
885162638,257925396,10007,74,uml
859556076,260867364,10007,,uml
892053776,264411659,10007,81,uml
804119256,202701878,10007,89,uml
864980059,238723661,10007,68,uml
860289652,299768242,10007,50,uml
890397212,282942423,10007,75,uml
892313699,273403517,10007,68,uml
830877871,250962548,10007,,uml
882062595,228049057,10007,86,uml
804987086,236871208,10007,86,uml
816545777,204607608,10007,52,uml
843237758,276759999,10007,74,uml
816840832,256905746,10007,,uml
809065240,209824191,10007,79,uml
837145088,204035675,10007,89,uml
873345193,235060446,10007,98,uml
824419996,216548767,10007,85,uml
870828725,280693131,10007,96,uml
828179735,293961744,10007,53,uml
862456562,286238042,10007,70,uml
885096308,231759503,10007,65,uml
881592005,267470229,10007,88,uml
849496023,298269494,10007,71,uml
884936958,292019371,10007,91,uml
870571460,249989111,10007,73,uml
815524399,267069286,10007,60,uml
867743115,282567038,10007,76,uml
871304130,214783655,10007,83,uml
875234808,245655842,10007,87,uml
845132124,201672340,10007,92,uml
830000059,234472965,10007,,uml
825064033,227822386,10007,64,uml
889000229,268017493,10007,97,uml
867486148,209095496,10007,51,uml
866305027,233541783,10007,74,uml
814632382,274851561,10007,88,uml
809348928,226652897,10007,84,uml
892535476,287230928,10007,68,uml
884060579,202756587,10007,50,uml
828463770,208607163,10007,55,uml
815635071,299101567,10007,76,uml
856420863,235627391,10007,65,uml
821412527,267507095,10007,99,uml
810688059,270076956,10007,93,uml
836670359,259648817,10007,83,uml
814122563,270246571,10007,97,uml
840662141,235423307,10007,53,uml
888379773,270388387,10007,85,uml
804109804,216605095,10007,94,uml
857184376,201881504,10007,64,uml
886907864,247740098,10007,85,uml
843295180,276949311,10007,89,uml
835917766,255319348,10007,72,uml
804659482,204098072,10007,66,uml
869586258,208305191,10007,77,uml
836050415,253028280,10007,64,uml
820478233,292894862,10007,,uml
861987240,246502624,10007,95,uml
848327043,299027346,10007,66,uml
815114860,286761641,10007,76,uml
869400534,232983046,10007,61,uml
890866451,269229036,10007,81,uml
875512957,248303811,10007,71,uml
800336077,257755120,10007,63,uml
888618483,277757872,10007,66,uml
897364613,273654495,10007,87,uml
875499313,281423829,10007,88,uml
808675887,295169343,10007,78,uml
843138687,267490006,10007,69,uml
815003071,297179085,10007,,uml
874930835,291224082,10007,50,uml
866712749,228977894,10007,50,uml
