no,sid,tid,cid,score
577816139,831352978,251403444,10001,50
578120732,813565040,223209560,10001,50
578983391,838709715,240040858,10001,50
580650563,805802406,232413560,10001,50
581312246,840546587,284176703,10001,50
583616184,865265010,297481962,10001,50
584753063,869853142,209706683,10001,50
585767663,883626524,211532184,10001,50
588362828,865167854,238039741,10001,50
588365061,876571826,253930315,10001,50
589061373,865103107,277945843,10001,50
590029486,846157016,221311765,10001,50
590466921,862617255,206147592,10001,50
593053825,857819109,219127781,10001,50
595085773,837328523,251347901,10001,50
596725393,870877376,298942598,10001,50
597083327,886778334,237037691,10001,50
598362285,806886305,264061947,10001,50
598572984,862793093,265466067,10001,50
599568055,831773795,210005075,10001,50
599823668,802694505,231482065,10001,50
502165670,861277931,200772354,10002,50
502283395,867767175,276307538,10002,50
503086879,805611377,238699434,10002,50
503642744,828845300,212107804,10002,50
504726204,842380130,296469274,10002,50
508626630,891256498,255553021,10002,50
509977427,832371091,207599444,10002,50
510731196,870821776,285548149,10002,50
512129329,856708219,255180132,10002,50
512134561,836056032,216509450,10002,50
512297941,895079316,229001863,10002,50
512933967,861398911,293971016,10002,50
514467848,800769558,251638316,10002,50
516430044,863909512,214824969,10002,50
517332109,837773873,223153505,10002,50
518395374,822844786,225152722,10002,50
518826520,875103096,280911139,10002,50
519202281,823478422,271192340,10002,50
520945535,860834251,283808409,10002,50
522070402,814593718,291765794,10002,50
522079944,883844727,234299912,10002,50
522112538,808880473,225855712,10002,50
522288509,869800886,227892606,10002,50
522784245,818259467,215787753,10002,50
523721349,807386654,290097490,10002,50
524791292,833226266,284786774,10002,50
528007881,849474548,267198942,10002,50
531863712,840332921,240170011,10002,50
533198972,804748145,260262102,10002,50
534209021,820039071,228952754,10002,50
535916423,892749190,205311347,10002,50
537043664,864363871,257073460,10002,50
537305907,880749411,227165666,10002,50
537338557,848976909,277897245,10002,50
537437477,893651158,261541254,10002,50
537527574,844677938,294059862,10002,50
537541442,808745585,245599124,10002,50
537991997,852322556,251129510,10002,50
538384304,866857184,215246339,10002,50
539439059,868085432,224999353,10002,50
540528762,880991402,235055294,10002,50
541378739,806899748,207802408,10002,50
542638985,834784767,264669998,10002,50
543118632,801905574,288931296,10002,50
543282532,845635960,280942473,10002,50
543293020,826848343,246366069,10002,50
543923136,806644178,210469124,10002,50
544244614,861501754,233360400,10002,50
544677843,827210898,221995543,10002,50
544843285,879195539,290272666,10002,50
545563238,887054291,220024847,10002,50
545949116,884643174,287390449,10002,50
547380464,888121778,264690946,10002,50
548075081,850185316,228153943,10002,50
548887094,895757374,255274097,10002,50
550000751,892090279,218543863,10002,50
550009336,886947086,293128647,10002,50
550478329,842197350,270559566,10002,50
551499179,870507922,204754290,10002,50
552964031,846328909,211455880,10002,50
553479975,843290919,259229241,10002,50
554092321,845252653,235929696,10002,50
554836990,897209896,242167141,10002,50
555360389,884487578,278573035,10002,50
555501362,817527658,239700874,10002,50
555705238,892856082,296946992,10002,50
556626619,814077940,262803856,10002,50
557833758,823527229,224263531,10002,50
558460358,824302220,236462518,10002,50
558928399,831329869,228302864,10002,50
559032951,896337371,296481595,10002,50
559311342,877750646,232019675,10002,50
560574723,887576501,258937526,10002,50
561067132,849980114,293961744,10002,50
561214975,856946988,279587689,10002,50
562193614,813199550,280615168,10002,50
562586183,829184632,241165543,10002,50
562913200,871754426,277403178,10002,50
563368721,811289564,294860046,10002,50
564820980,859683558,271972416,10002,50
564822609,865138664,238678178,10002,50
564830420,867820247,248795704,10002,50
564995191,880987188,229910143,10002,50
565461931,839597095,241807369,10002,50
566283483,808548238,262265431,10002,50
566417575,891114099,219285714,10002,50
566696186,823569793,269410627,10002,50
567716006,840900227,212697001,10002,50
569086715,868284746,288009131,10002,50
569366762,862716608,225900095,10002,50
569405584,807659540,268140541,10002,50
569611223,887489437,212446488,10002,50
569911120,874132538,252296261,10002,50
569962539,875409621,205770822,10002,50
570335074,897343541,222995709,10002,50
570534068,864687381,283116421,10002,50
571205163,800163736,239603065,10002,50
571991264,800399550,228677643,10002,50
573255138,822974009,216790265,10002,50
575131326,815619675,227962908,10002,50
578411761,853338080,254972019,10002,50
579755561,888028275,283567635,10002,50
580112111,857804059,267888787,10002,50
580368102,896435187,267770837,10002,50
582271067,871678224,287021451,10002,50
583242892,835752991,234456636,10002,50
583996583,858022331,224029492,10002,50
584327251,841147893,297280385,10002,50
584677705,801781431,209724035,10002,50
584706107,883401697,242146095,10002,50
584907807,867003595,228977894,10002,50
586559524,826823480,259629223,10002,50
587843655,863320223,220658107,10002,50
590063316,835733121,266126615,10002,50
591685776,840711637,225745508,10002,50
591861581,827786112,266126615,10002,50
592088082,871094169,265122014,10002,50
592557557,860706528,209989179,10002,50
593765231,860831365,247521299,10002,50
595543965,872868081,278351799,10002,50
596709987,829173966,276309870,10002,50
597730241,817299004,236514878,10002,50
597747213,821889467,202570629,10002,50
599383089,838735265,219418720,10002,50
500337740,808886279,221284201,10003,50
503272006,885389561,268504031,10003,50
504647970,827845925,202444299,10003,50
505672870,807780892,209263495,10003,50
506766742,840979000,249071363,10003,50
507124978,826748085,276554043,10003,50
508286018,818365667,257488049,10003,50
509597146,818869173,281769006,10003,50
511269744,836941485,255357384,10003,50
511480360,806467886,218887013,10003,50
511617306,826907724,272803681,10003,50
512548153,895260498,204337541,10003,50
513424685,830081920,202844410,10003,50
514333569,871667680,262764094,10003,50
514603171,803519860,271918176,10003,50
514639616,891529214,269985828,10003,50
514849952,872238723,254034728,10003,50
515852595,880214359,211410696,10003,50
518368631,866918671,268870663,10003,50
520126164,892502149,282195692,10003,50
520546815,848425525,250586979,10003,50
520909214,844740213,240254471,10003,50
522003404,834457317,232813950,10003,50
523865835,802024879,255183302,10003,50
524360686,833829804,238025096,10003,50
525782966,857022665,299531892,10003,50
525880777,848354187,230037158,10003,50
525953675,822672620,219446756,10003,50
526586622,872010329,250381228,10003,50
526637522,803457656,260086481,10003,50
527302193,840522242,241486960,10003,50
528338611,841527565,250173588,10003,50
528898941,864516410,248183654,10003,50
529945040,880032708,262789042,10003,50
530133214,890338889,267051958,10003,50
530455692,870394475,265432398,10003,50
530595660,868990529,274799768,10003,50
532129209,830416459,233754032,10003,50
532236641,860785049,211481786,10003,50
534265421,873870054,211613718,10003,50
534701231,844709862,294196925,10003,50
535777270,853642333,272060293,10003,50
535990209,802532240,244567743,10003,50
536594429,827762190,232042615,10003,50
537103979,824302216,295871587,10003,50
537341253,800312684,234736486,10003,50
537775345,843893583,267934835,10003,50
537897482,868711751,208236346,10003,50
538118531,872789343,212497111,10003,50
538786296,853540758,270577293,10003,50
539902904,812977403,245951865,10003,50
540360323,869944178,277199906,10003,50
540653797,830071229,222513889,10003,50
541719575,804232678,260030311,10003,50
544555375,842763912,258207624,10003,50
544874427,835710882,273477927,10003,50
546440572,844001175,272863182,10003,50
546761761,807614164,285126953,10003,50
546988052,861507880,297644124,10003,50
547388421,858086659,237768312,10003,50
547678570,803525409,272149939,10003,50
549087519,820127899,295482881,10003,50
549515036,837082435,224189056,10003,50
550310719,824586547,249234175,10003,50
550846810,842500698,270286693,10003,50
552120745,867738072,283424099,10003,50
554068341,817299004,246830729,10003,50
555258965,860444783,268046919,10003,50
556543501,804321207,296513333,10003,50
558534401,848308396,236834320,10003,50
558687861,846600529,277211206,10003,50
559359106,893064946,296581960,10003,50
560161786,891615881,293051137,10003,50
561566659,879335803,287021451,10003,50
561638007,825291791,220562029,10003,50
563697513,801770365,284251025,10003,50
564101418,823370304,247237737,10003,50
565515001,804105470,215166853,10003,50
566045681,830924505,239101517,10003,50
566116428,823174092,222299692,10003,50
566626857,880923460,262322779,10003,50
567102598,828734274,256090040,10003,50
567695455,828280347,251885918,10003,50
568367547,873033357,221541299,10003,50
568894900,810343000,208004326,10003,50
569009853,822681898,226283818,10003,50
571378847,878329020,295687732,10003,50
571443796,886292532,247338244,10003,50
573453288,887078835,268030327,10003,50
574609714,813417872,273403517,10003,50
575009558,821107812,292065609,10003,50
575582724,806983768,226086743,10003,50
577252694,852334215,218611537,10003,50
578334075,847733251,229974251,10003,50
578483842,860916231,210692391,10003,50
579573174,875452223,216606634,10003,50
579889497,853875333,238162525,10003,50
580887195,869453795,289949098,10003,50
581346672,854724162,270046916,10003,50
581864298,887227132,202678755,10003,50
582460507,806783514,272609134,10003,50
583122905,813974490,291328162,10003,50
583252860,879506767,267978296,10003,50
584438710,828079809,201044036,10003,50
585239930,809866907,259951597,10003,50
587315036,842264270,250865190,10003,50
588690033,801895822,231054126,10003,50
589325294,818977453,295732881,10003,50
591168165,869624046,202793965,10003,50
593309702,888178497,262019966,10003,50
593487834,883717407,291753147,10003,50
593920706,874493854,200675836,10003,50
594531092,817579904,254038219,10003,50
594856668,809920492,258666951,10003,50
594962488,804535466,206842994,10003,50
595859554,801436846,245317023,10003,50
598113150,817268637,255658245,10003,50
598348992,833134750,243748948,10003,50
598591065,801143384,220587101,10003,50
599357009,847069868,280781538,10003,50
500482468,893646450,293450343,10004,50
500734203,804565200,248111210,10004,50
500966025,843914926,246488750,10004,50
501287324,821340873,204846407,10004,50
502400648,847099499,297693371,10004,50
503383559,859058665,204975610,10004,50
504984013,871228864,285125483,10004,50
505352806,895125371,260820178,10004,50
505442594,866430453,271762538,10004,50
506187514,827925761,230670658,10004,50
506821306,825018498,205236489,10004,50
507037444,884985619,203438775,10004,50
508284428,827396836,275139055,10004,50
510666132,847805834,227782957,10004,50
511103081,817182946,221743836,10004,50
512574568,802901656,222128128,10004,50
513088603,827698652,271575246,10004,50
514902685,882496879,287295821,10004,50
515233453,824180076,269970265,10004,50
515297858,848432964,291471113,10004,50
515654105,831356786,251419369,10004,50
517961579,817176424,266972688,10004,50
518533222,846961607,200957539,10004,50
519283046,835343511,229014953,10004,50
521347666,809749512,295295124,10004,50
521742989,858099175,244782849,10004,50
521849214,839560213,246407392,10004,50
522063210,820221256,261365137,10004,50
523228955,866459774,248278961,10004,50
523300393,869829001,296947870,10004,50
523603754,803385420,282412139,10004,50
524819598,874590970,277213103,10004,50
526553574,832167413,267365523,10004,50
526737718,849330122,286800737,10004,50
528170663,855236218,209536113,10004,50
528379781,820601904,225187053,10004,50
528861843,822113960,219193831,10004,50
528918994,838903868,208407657,10004,50
530170762,810820000,232638414,10004,50
530819486,864698781,237922349,10004,50
532104347,807895573,212075249,10004,50
534304348,893870437,296298452,10004,50
535306938,849720495,228185803,10004,50
536119139,869740816,264119293,10004,50
537756730,863838118,254748711,10004,50
537853858,845174715,279108124,10004,50
538020818,878477554,223799075,10004,50
538153076,801764999,236722703,10004,50
538559878,843618689,200542498,10004,50
539698800,826304587,253152341,10004,50
540648941,864816822,223382962,10004,50
540772182,803655610,274549131,10004,50
542349737,893977151,222634267,10004,50
542958829,831683342,245979189,10004,50
542977138,806820698,235051399,10004,50
543033801,884778539,203297484,10004,50
546015905,822643228,207860923,10004,50
546315117,822061976,223644663,10004,50
546336845,840320812,254561987,10004,50
547757140,874882279,275923601,10004,50
547849557,858549150,232799708,10004,50
547891458,844307506,288503293,10004,50
549211505,894671533,262499947,10004,50
549660974,882975178,258415795,10004,50
550301439,873572412,262347881,10004,50
550676170,897213903,243411941,10004,50
551404645,859793129,277160005,10004,50
552689662,859296899,250635464,10004,50
553240007,861579610,272730480,10004,50
554056108,870786298,258531708,10004,50
554169787,885465549,277757872,10004,50
554188585,801271720,279478869,10004,50
554320234,854243388,247996053,10004,50
554953120,883593871,283265634,10004,50
556081401,819578242,296140154,10004,50
556085276,877471983,269112907,10004,50
557397693,889908722,215184552,10004,50
557933046,859970855,228499793,10004,50
558698799,837873638,204808883,10004,50
559639451,883867988,277416969,10004,50
560251651,856096549,267163476,10004,50
560271105,886644359,247975187,10004,50
560303877,894836780,217817155,10004,50
561479408,888514012,253395277,10004,50
561840774,869640118,267460219,10004,50
561946136,807662908,216269603,10004,50
562109450,814068568,266317831,10004,50
563192222,832326426,250886806,10004,50
564308355,806200254,295788601,10004,50
564884493,853984189,222220409,10004,50
566415947,837966916,242187782,10004,50
566453756,820573540,221755902,10004,50
567042480,861322249,285400688,10004,50
567466471,871102991,247537753,10004,50
567669325,804980087,279643555,10004,50
568379945,824577373,226011814,10004,50
568525525,860388660,227844358,10004,50
568788218,868030742,234486755,10004,50
569057557,834650238,285183479,10004,50
569214848,877296160,226926703,10004,50
569768235,872890012,285977489,10004,50
571127575,833551384,208841745,10004,50
571216519,869366160,273749195,10004,50
571460727,809484335,220739047,10004,50
571911349,832002683,281507955,10004,50
571946765,888540156,202956762,10004,50
572553923,868143498,264694358,10004,50
573159179,881769618,240126643,10004,50
573857134,839780264,272028261,10004,50
574673779,804541266,296034429,10004,50
576901080,828431209,201564131,10004,50
578036089,811954460,237594432,10004,50
579181005,850669085,241802767,10004,50
579716884,808441580,279094487,10004,50
580279128,887611048,299506416,10004,50
580612820,810428976,294465746,10004,50
581930110,858019231,293305296,10004,50
582254017,841577603,222007478,10004,50
583023105,811052138,212079244,10004,50
583038007,830496814,245515339,10004,50
583335561,899606981,293852753,10004,50
583500860,808775939,249256849,10004,50
583788098,872098675,276061884,10004,50
584546860,808341136,249761144,10004,50
585426942,835511692,278695478,10004,50
586659477,889632004,258763019,10004,50
587471647,821089396,228838387,10004,50
588363384,859983931,258956886,10004,50
589451523,811273648,216800311,10004,50
590121341,862952226,265928608,10004,50
590537871,886549267,214040644,10004,50
591540981,889057367,261806988,10004,50
592020611,833421451,254331320,10004,50
593001215,844394351,266073307,10004,50
594440521,863781411,202743019,10004,50
596438221,855707945,258030494,10004,50
500784172,826634334,229870152,10005,50
500907028,892021253,288192639,10005,50
502966641,811656358,299506416,10005,50
506085138,803865142,278298987,10005,50
507016320,870136394,295280197,10005,50
508097471,875829977,259237075,10005,50
509309930,836594402,218084036,10005,50
509910917,857574847,263964376,10005,50
509953533,896071979,246621628,10005,50
510584657,817508746,217814271,10005,50
510721454,806873102,220248914,10005,50
510914837,834993533,242347075,10005,50
511268230,861154162,294940942,10005,50
512448527,801935884,209532310,10005,50
512943088,866244079,280821123,10005,50
513009245,889209238,220367890,10005,50
513682978,814233206,211852870,10005,50
514262014,825688574,208610320,10005,50
515121898,848699374,205721954,10005,50
516336737,835641605,244080955,10005,50
516508313,896325280,273247764,10005,50
516668269,824037145,286862798,10005,50
516798774,877252174,266706303,10005,50
517527165,829656900,267169727,10005,50
517761435,811637268,289741527,10005,50
519572506,847376432,295721168,10005,50
520792321,875364670,259821915,10005,50
521329533,820127899,260856115,10005,50
523141485,819982534,218822445,10005,50
523317891,809299894,268635343,10005,50
523415613,810274213,282739769,10005,50
523702244,831475750,252901106,10005,50
524068486,811113020,248723875,10005,50
524290118,812580450,270390565,10005,50
525300479,848675344,233622158,10005,50
525968067,832288702,214631412,10005,50
526389103,802898667,285617301,10005,50
528366080,802603936,226851746,10005,50
528492910,844740581,272722083,10005,50
528956883,828112849,234096800,10005,50
529076865,873616512,210396548,10005,50
530248860,895509144,291302973,10005,50
530335159,826148917,278304518,10005,50
530651386,812745601,298429434,10005,50
532046378,802976502,269919091,10005,50
534566881,833199194,251247911,10005,50
535001366,825281926,244804490,10005,50
536299649,845734082,284477989,10005,50
536353744,894071678,246182605,10005,50
537459627,864054642,232273984,10005,50
537728668,804336284,270575563,10005,50
539524626,860172596,226517181,10005,50
539555903,894388401,203397490,10005,50
540252106,844784915,276394215,10005,50
540307561,841967146,248442043,10005,50
541201124,822123403,235227833,10005,50
541469030,873163087,257852982,10005,50
541681830,887413962,214623644,10005,50
541778065,889379171,252406406,10005,50
543251020,839744266,289757701,10005,50
543804424,823187487,243797027,10005,50
544707096,808294796,252671259,10005,50
546073032,864603693,201036350,10005,50
546301945,866494480,277294167,10005,50
547319272,824814273,232059176,10005,50
548454233,818394421,239722602,10005,50
548969230,853983228,235199554,10005,50
550053564,865754266,221790813,10005,50
550965357,888134112,200217811,10005,50
552497251,846663044,237241190,10005,50
553700279,842377265,254578836,10005,50
553892332,860039849,253172253,10005,50
554120178,819427809,288212426,10005,50
555072478,862266900,224570102,10005,50
556731443,827581212,278413515,10005,50
556843838,817296322,276968581,10005,50
558209241,847532259,278081550,10005,50
560478540,804158533,207599444,10005,50
560873066,878904880,290569159,10005,50
561236693,855182795,265697992,10005,50
561297961,895613362,276676134,10005,50
562794210,830859339,284066781,10005,50
563036183,895640785,202256678,10005,50
563353790,841571729,225902282,10005,50
564446487,861612022,275207296,10005,50
564626723,844350846,223208889,10005,50
566369767,851117016,250635464,10005,50
567233747,891991885,278263015,10005,50
568097998,834369333,288018136,10005,50
568166382,844533839,223705293,10005,50
568382482,826748767,240027986,10005,50
568479415,829038327,232682660,10005,50
568874325,812862217,219344537,10005,50
569668395,873963236,279659881,10005,50
572461067,831824182,297700964,10005,50
574227320,875792746,280922629,10005,50
574235541,874988486,222230162,10005,50
575953328,897556046,245629591,10005,50
577610542,897763175,251253465,10005,50
578222067,845668230,228241717,10005,50
579333625,878843376,282346430,10005,50
579371793,860182031,251885918,10005,50
580058860,858914907,295934329,10005,50
581006538,806445030,283394976,10005,50
581895238,877111124,212203248,10005,50
582661930,843781119,270322958,10005,50
583244111,875901667,246567406,10005,50
583471501,835009071,268635343,10005,50
583924862,820701525,213715723,10005,50
584567869,891742904,202488331,10005,50
584726135,824926460,287522000,10005,50
585152724,857010222,232058871,10005,50
586660776,839981138,236948192,10005,50
591449174,832092215,288606753,10005,50
591569541,852765548,206498599,10005,50
592052219,862497186,247628388,10005,50
592248091,818796112,202236298,10005,50
594704451,855317922,279922327,10005,50
595455180,843410043,228499793,10005,50
596995125,873970648,201493696,10005,50
597581087,863071141,224606622,10005,50
598222746,898115967,214200983,10005,50
598838825,853508519,264920933,10005,50
599523877,863905602,229893975,10005,50
502028967,872656707,201635626,10006,50
502422214,820538355,254217474,10006,50
502987049,818007792,224356586,10006,50
504173921,893219021,264928395,10006,50
504312018,848620952,232506328,10006,50
504463931,873139332,247038660,10006,50
504946034,857544839,292169638,10006,50
505851715,861655729,298008164,10006,50
507219159,811417459,257021041,10006,50
507328146,833180174,286684377,10006,50
507883273,844817185,257880355,10006,50
508767324,830106012,265757849,10006,50
509866930,852971835,244831735,10006,50
509964639,811165855,282920777,10006,50
510731729,806319950,200213467,10006,50
511363031,834590366,281685161,10006,50
512053358,849812634,278670846,10006,50
512924965,892457457,270566806,10006,50
512988016,894999345,264813979,10006,50
513592318,857891020,272248905,10006,50
516162610,860746591,269970265,10006,50
516348391,886099928,284995559,10006,50
517798365,855362629,232298840,10006,50
521173377,872049709,205951402,10006,50
521754032,839138982,259073554,10006,50
521868346,862944791,291762536,10006,50
522050603,845155325,249713575,10006,50
523594566,814634651,256840810,10006,50
523687634,843981149,231381892,10006,50
524395494,885652023,292124905,10006,50
525422901,825318938,290062191,10006,50
525441269,802981793,262499129,10006,50
528311853,808937043,250974172,10006,50
529038079,828898460,238685753,10006,50
530032659,823698235,270267167,10006,50
530637068,830053251,204938165,10006,50
530737601,835275795,268766528,10006,50
533119014,840280686,226826051,10006,50
534566146,880409193,292363004,10006,50
534763050,812495841,214997601,10006,50
535097022,860898198,265783483,10006,50
535610290,835088244,263039289,10006,50
535685278,853477185,237755738,10006,50
536287041,831967289,248246576,10006,50
536330298,894055290,266353843,10006,50
536734641,819402442,254471328,10006,50
536948606,846978390,255912993,10006,50
537052388,880367985,278524918,10006,50
537458700,869423593,267714150,10006,50
537854140,832041125,297280385,10006,50
538320382,828581825,226323018,10006,50
539339042,878555710,254198124,10006,50
540832408,884542281,256809024,10006,50
541984958,801892247,267953369,10006,50
542032684,821590413,275532674,10006,50
542139242,867156707,242649561,10006,50
543322608,826820220,227105767,10006,50
544247605,866076485,251425723,10006,50
546926941,838688271,228732567,10006,50
547432122,865112856,257691583,10006,50
548144133,865943355,203197526,10006,50
548525377,864860762,292238666,10006,50
549933388,880869595,277530031,10006,50
550702185,856650337,289799592,10006,50
552353477,821714921,248765825,10006,50
553282832,857097255,272664526,10006,50
553809208,811912393,269471093,10006,50
555255487,860985578,223159335,10006,50
556968118,847107877,226065890,10006,50
557178180,854312908,285956267,10006,50
557230434,821149873,233458022,10006,50
559018335,811028218,288798825,10006,50
559685008,830513852,210400292,10006,50
562518119,864036478,256130232,10006,50
563785868,806941652,239025188,10006,50
564396672,835280323,227782957,10006,50
565392054,895595053,214118297,10006,50
566685138,835490576,233044566,10006,50
568178281,889934494,232382539,10006,50
568567107,815931290,284355841,10006,50
569423618,890026389,291978065,10006,50
569579464,804273847,205023774,10006,50
570658766,807810700,220778874,10006,50
571933086,876072751,255262177,10006,50
572705222,804415449,225187053,10006,50
574573286,866073368,235640573,10006,50
579691855,812158029,235011593,10006,50
580145605,887502942,218001830,10006,50
580238891,869065723,211166517,10006,50
580525216,890139241,253057441,10006,50
580569908,899711557,291514264,10006,50
581967253,877189705,224606622,10006,50
583173682,840920819,271787893,10006,50
583998251,899517553,289389746,10006,50
584246452,837337227,240090854,10006,50
586240204,824213039,254564427,10006,50
586756946,858770795,224184150,10006,50
587036666,862191231,209587815,10006,50
587142827,803351653,265424694,10006,50
587157485,807758451,252433913,10006,50
588384349,893216363,250001106,10006,50
588933200,816430131,227618969,10006,50
589203810,845450543,226538254,10006,50
589436929,849914497,216781213,10006,50
589888482,874421133,269721602,10006,50
590267308,858636714,223722678,10006,50
590450024,879047917,254279351,10006,50
590899472,865088618,291998015,10006,50
594464378,828531263,275682606,10006,50
594608370,880561275,278353892,10006,50
595238144,856281066,253890018,10006,50
595452104,879700349,282515961,10006,50
596897430,819157516,283520427,10006,50
596942383,857169261,210870137,10006,50
597176545,814411759,211270378,10006,50
598328838,844536838,200144197,10006,50
598974827,824061181,274030640,10006,50
501016787,827106651,257033195,10007,50
502575690,846590194,208801701,10007,50
503319879,896759310,290247248,10007,50
503354721,893101606,271586480,10007,50
503939828,872978183,253079448,10007,50
504974862,836654067,204629000,10007,50
506347127,808585919,227771441,10007,50
506991020,861579610,284229891,10007,50
507969364,879545141,288508059,10007,50
508197797,816746777,292715350,10007,50
509030861,881235604,253452754,10007,50
510057819,809340262,202560416,10007,50
510127761,866130067,257941400,10007,50
511446612,851258869,290646495,10007,50
511788264,816849146,246002853,10007,50
513966138,860289652,299768242,10007,50
514506760,884060579,202756587,10007,50
515152740,874930835,291224082,10007,50
515167503,866712749,228977894,10007,50
515510611,825721858,266413165,10007,50
515826239,827916974,241934479,10007,50
516464856,839561282,219012274,10007,50
517206728,814384279,297522152,10007,50
518105916,833915730,219429917,10007,50
518694188,888843453,216548767,10007,50
519604806,821074930,252576358,10007,50
520903100,886470581,250024355,10007,50
521058395,814109964,258054865,10007,50
522236692,880875738,294518544,10007,50
523117952,894094452,275081290,10007,50
524840359,821482904,212552665,10007,50
524923739,818372342,290426487,10007,50
526198712,838369769,284482876,10007,50
526584366,828545878,233309372,10007,50
526903321,815775921,297829545,10007,50
527346133,838945240,205514988,10007,50
527945614,870689284,203278445,10007,50
528804002,868278479,232095250,10007,50
529028322,869058902,248920377,10007,50
529765370,833327815,256124191,10007,50
530572831,818818171,246605013,10007,50
531957847,888539378,275409766,10007,50
533677051,852034142,218691416,10007,50
534140096,880530505,279592692,10007,50
534218456,856956641,242081598,10007,50
534359119,811384725,234326842,10007,50
535031982,855385504,252228295,10007,50
536372194,864413132,257999615,10007,50
536612877,888886050,255156591,10007,50
536693601,853557430,263081929,10007,50
538105754,828187664,294727048,10007,50
538790760,897936231,290933597,10007,50
539215225,849314275,228154479,10007,50
541453292,895758915,240775724,10007,50
542157666,876090437,219406677,10007,50
543288907,828787103,210675201,10007,50
543582423,867181596,276692242,10007,50
544465357,807148543,226810719,10007,50
546013584,875282782,279914556,10007,50
547241037,803254239,287196826,10007,50
547363622,876463448,204082552,10007,50
548612021,853789388,295401064,10007,50
548844926,846386053,237917675,10007,50
549036412,872976997,206849154,10007,50
549613765,808899628,256735843,10007,50
550075749,870096578,243748948,10007,50
550215957,889739581,246267365,10007,50
551873670,877206826,204371417,10007,50
552296254,889986486,278559394,10007,50
552978493,831973864,297206498,10007,50
553642913,803044574,230053066,10007,50
553820145,834861508,229677146,10007,50
555650711,807351632,298281601,10007,50
555854670,834608697,247041975,10007,50
556205524,899597950,243573253,10007,50
556655882,888885181,226680386,10007,50
557747660,841929178,259690230,10007,50
558171733,882695962,280729972,10007,50
560648207,866031256,265439536,10007,50
561095381,818666008,267222588,10007,50
561410991,820893200,200930587,10007,50
562569392,856211440,298738355,10007,50
563965624,832320515,279582157,10007,50
564492028,853540005,270029421,10007,50
564547360,807577211,286012062,10007,50
564647455,852350804,298839082,10007,50
567650977,811265856,211498538,10007,50
568178557,842427495,214094893,10007,50
568496041,882738048,231630810,10007,50
568548751,819291443,273970353,10007,50
569604119,820063960,212159264,10007,50
570486375,868946608,268309018,10007,50
573032047,839777973,289708571,10007,50
574454654,843442212,278285174,10007,50
575579565,896757021,291452727,10007,50
575650200,897556046,291591734,10007,50
579122013,886648017,289689144,10007,50
579342436,868558327,226348202,10007,50
581294002,866506254,239098286,10007,50
581400348,887554491,271832345,10007,50
